Phase,Category,Module,Task ID,Task Name,Description,Dependencies,Estimated Hours,User Role,Priority,Status
DESIGN,UI/UX Prototyping,Authentication,D-AUTH-001,Login Screen Design,Design login interface with username/password fields and Remember Me option,,8,All,High,Completed
DESIGN,UI/UX Prototyping,Authentication,D-AUTH-002,Registration Screen Design,Design registration form with user details and branch selection,,8,All,High,Completed
DESIGN,UI/UX Prototyping,Authentication,D-AUTH-003,Role Selection Flow,Design role-based routing after authentication,,4,All,High,Completed
DESIGN,UI/UX Prototyping,Navigation,D-NAV-001,Bottom Navigation Bar,Design responsive bottom navigation for mobile/desktop,,8,All,High,Completed
DESIGN,UI/UX Prototyping,Navigation,D-NAV-002,Profile Section,Design collapsible profile section with role indicator and branch info,,6,All,Medium,Completed
DESIGN,UI/UX Prototyping,Sales UI,D-SALES-001,Request Creation Form,Design multi-step request form with product details entry,,16,Sales,High,Completed
DESIGN,UI/UX Prototyping,Sales UI,D-SALES-002,My Requests Dashboard,Design requests list view with filtering and sorting,,12,Sales,High,Completed
DESIGN,UI/UX Prototyping,Sales UI,D-SALES-003,Request Details View,Design detailed view showing request status and history,,10,Sales,High,Completed
DESIGN,UI/UX Prototyping,Sales UI,D-SALES-004,My Orders View,Design orders list originating from user's requests,,12,Sales,Medium,Completed
DESIGN,UI/UX Prototyping,Sales UI,D-SALES-005,Notifications Center,Design notifications list with tabs (All/Unread/Expiring/Archived),,12,Sales,High,Completed
DESIGN,UI/UX Prototyping,Stockist UI,D-STOCK-001,Stockist Home Dashboard,Design dashboard showing pending requests by branch,,12,Stockist,High,Completed
DESIGN,UI/UX Prototyping,Stockist UI,D-STOCK-002,Stock Verification Form,Design form for entering available pieces per detail item,,16,Stockist,High,Completed
DESIGN,UI/UX Prototyping,Stockist UI,D-STOCK-003,Request Approval Flow,Design approve/reject workflow with status transitions,,8,Stockist,High,Completed
DESIGN,UI/UX Prototyping,Stockist UI,D-STOCK-004,Notifications Center,Design stockist-specific notification views,,10,Stockist,High,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-001,JB Home Dashboard,Design dashboard showing requests requiring JB action,,12,JB,High,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-002,Requests Management,Design requests list with filtering by status and branch,,12,JB,High,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-003,Order Creation Form,Design order creation form from approved requests,,20,JB,High,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-004,Order Management,Design orders list and detail views for JB,,14,JB,High,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-005,Inbound Management,Design inbound tracking and arrival recording,,16,JB,High,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-006,Order Edit Form,Design form for editing order details and items,,16,JB,Medium,Completed
DESIGN,UI/UX Prototyping,JB UI,D-JB-007,Notifications Center,Design JB-specific notification views,,10,JB,High,Completed
DESIGN,UI/UX Prototyping,Supplier UI,D-SUPP-001,Supplier Home Dashboard,Design dashboard showing assigned orders,,12,Supplier,High,Completed
DESIGN,UI/UX Prototyping,Supplier UI,D-SUPP-002,Orders List View,Design orders list with status filtering,,10,Supplier,High,Completed
DESIGN,UI/UX Prototyping,Supplier UI,D-SUPP-003,Order Details View,Design detailed order view with action buttons,,12,Supplier,High,Completed
DESIGN,UI/UX Prototyping,Supplier UI,D-SUPP-004,Status Update Flow,Design workflow for updating order status (In Production/Stock Ready/Unable to Fulfill),,10,Supplier,High,Completed
DESIGN,UI/UX Prototyping,Supplier UI,D-SUPP-005,Change Request Flow,Design interface for requesting order changes,,12,Supplier,Medium,Completed
DESIGN,UI/UX Prototyping,Supplier UI,D-SUPP-006,Notifications Center,Design supplier-specific notification views,,10,Supplier,High,Completed
